name,orig_name,state,orig_county,established,discontinued,continuous,stamp_index,id,coordinates,duration,gnis_match,gnis_name,gnis_state,gnis_feature_id,gnis_feature_class,gnis_orig_county,gnis_latitude,gnis_longitude,latitude,longitude,state_full,state_latitude,state_longitude
JESSAMINE,JESSAMINE,MO,Ralls,1896.0,1903.0,True,5.0,29362,True,7.0,True,JESSAMINE,MO,744082.0,Locale,Ralls,39.3944861,-91.5098776,39.3944861,-91.5098776,Missouri,38.29739780113773,-92.40621321592816
JEWETT,JEWETT,MO,Madison,1872.0,1948.0,False,1.0,29405,True,76.0,True,JEWETT,MO,750507.0,Populated Place,Madison,37.3803297,-90.5015067,37.3803297,-90.5015067,Missouri,38.29739780113773,-92.40621321592816
JIM,JIM,MO,Clark,1877.0,1884.0,True,6.0,29414,True,7.0,True,JIM,MO,731710.0,Populated Place,Clark,40.4547597,-91.8882265,40.4547597,-91.8882265,Missouri,38.29739780113773,-92.40621321592816
JIMTOWN,JIMTOWN,MO,Schuyler,1893.0,1904.0,True,5.0,29418,True,11.0,True,JIMTOWN,MO,720325.0,Cemetery,Schuyler,40.4508527,-92.664076,40.4508527,-92.664076,Missouri,38.29739780113773,-92.40621321592816
JOANNA,JOANNA,MO,Ralls,1895.0,1912.0,True,4.0,29428,True,17.0,True,JOANNA,MO,740967.0,Populated Place,Ralls,39.5408748,-91.6693256,39.5408748,-91.6693256,Missouri,38.29739780113773,-92.40621321592816
JOB,JOB(E),MO,Oregon,1848.0,1906.0,False,4.0,29435,True,58.0,True,JOB,MO,740968.0,Populated Place,Oregon,36.5836715,-91.2515218,36.5836715,-91.2515218,Missouri,38.29739780113773,-92.40621321592816
JODY,JODY,MO,Taney,1904.0,1906.0,True,6.0,29442,True,2.0,True,JODY,MO,740415.0,Locale,Taney,36.6700615,-92.8854507,36.6700615,-92.8854507,Missouri,38.29739780113773,-92.40621321592816
JOHNS MILLS,JOHNS MILLS,MO,Douglas,1893.0,1934.0,True,2.0,29469,True,41.0,True,JOHNS MILLS,MO,733854.0,Populated Place,Douglas,37.0361637,-92.890729,37.0361637,-92.890729,Missouri,38.29739780113773,-92.40621321592816
JOHNSON,JOHNSON,MO,Macon,1868.0,1871.0,True,7.0,29474,True,3.0,True,JOHNSON,MO,733713.0,School,Macon,39.7514168,-92.8196388,39.7514168,-92.8196388,Missouri,38.29739780113773,-92.40621321592816
JOHNSON CITY,JOHNSON CITY,MO,St. Clair,1871.0,1904.0,True,5.0,29484,True,33.0,True,JOHNSON CITY,MO,756232.0,Populated Place,St. Clair,38.1169726,-93.9279945,38.1169726,-93.9279945,Missouri,38.29739780113773,-92.40621321592816
