name,orig_name,state,orig_county,established,discontinued,continuous,stamp_index,id,coordinates,duration,gnis_match,gnis_name,gnis_county,gnis_state,gnis_feature_id,gnis_feature_class,gnis_orig_name,gnis_orig_county,gnis_latitude,gnis_longitude,gnis_elev_in_m,gnis_dist,latitude,longitude,state_full,state_latitude,state_longitude
BROCKDALE,BROCKDALE,TN,Bledsoe,1910.0,1955.0,True,1.0,7045,True,45.0,True,BROCKDELL,BLEDSOE,TN,1314737.0,Populated Place,Brockdell,Bledsoe,35.5281222,-85.3238544,502.0,0.777777777777778,35.5281222,-85.3238544,Tennessee,35.90304088108576,-85.8669100795989
CRANE'S POND,CRANE'S POND,MO,Iron,1879.0,1881.0,True,7.0,13232,True,2.0,True,CRANE POND,IRON,MO,748100.0,School,Crane Pond School (historical),Iron,37.4533836,-90.6298418,297.0,0.833333333333333,37.4533836,-90.6298418,Missouri,38.29739780113773,-92.40621321592816
LIBERTY HILL,LIBERTY HILL,GA,Heard,1833.0,1839.0,False,8.0,32640,True,6.0,True,LIBERTY HILL,HEARD,GA,326331.0,Populated Place,Liberty Hill,Heard,33.1595654,-85.1377196,254.0,1.0,33.1595654,-85.1377196,Georgia,33.12832351739887,-83.74456450104394
MAY DAY,MAY DAY,KS,Riley,1871.0,1954.0,True,1.0,147995,True,83.0,True,MAY DAY,RILEY,KS,476047.0,Locale,May Day,Riley,39.49333,-96.91363,375.0,1.0,39.49333,-96.91363,Kansas,38.52652031092821,-97.41166347965247
SENEY,SENEY,KY,Carter,1899.0,1921.0,True,3.0,112632,True,22.0,True,SENEY,CARTER,KY,2337281.0,Post Office,Seney Post Office (historical),Carter,38.3446,-82.84741,198.0,1.0,38.3446,-82.84741,Kentucky,37.61319005289673,-84.68927476511334
DANIELSVILLE,DANIELSVILLE,MO,Wayne,1871.0,1872.0,True,8.0,14225,True,1.0,True,DANIELSVILLE,WAYNE,MO,751576.0,Populated Place,Danielsville,Wayne,37.1544946,-90.6956749,151.0,1.0,37.1544946,-90.6956749,Missouri,38.29739780113773,-92.40621321592816
SUNKIST,SUNKIST,NV,Washoe,1916.0,1919.0,True,7.0,160715,True,3.0,True,SUNKIST,WASHOE,NV,864411.0,Post Office,Sunkist Post Office (historical),Washoe,41.07212,-119.8872,1436.0,1.0,41.07212,-119.8872,Nevada,39.29768467980296,-116.98912003284072
SPRING HILL,SPRING HILL,FL,Leon,1894.0,1931.0,True,2.0,54629,True,37.0,True,SPRING HILL,LEON,FL,306440.0,Populated Place,Spring Hill,Leon,30.339367,-84.387958,27.0,1.0,30.339367,-84.387958,Florida,29.149179605277045,-82.70831202058048
DAVIS,DAVIS,IN,Starke,1886.0,1902.0,True,4.0,77634,True,16.0,True,DAVIS,STARKE,IN,453254.0,Civil,Township of Davis,Starke,41.38434,-86.64289,205.0,,41.38434,-86.64289,Indiana,39.762828507259336,-86.22832405360336
CHATTERTON,CHATTERTON,GA,Coffee,1900.0,1916.0,True,4.0,10266,True,16.0,True,CHATTERTON,COFFEE,GA,326218.0,Populated Place,Chatterton,Coffee,31.5115859,-82.736251,68.0,1.0,31.5115859,-82.736251,Georgia,33.12832351739887,-83.74456450104394
CANNON,CANNON,AR,Benton,1888.0,1906.0,False,5.0,8758,True,18.0,True,CANNON,BENTON,AR,75415.0,Populated Place,Cannon (historical),Benton,36.2600778,-94.2468732,376.0,1.0,36.2600778,-94.2468732,Arkansas,35.01494461423343,-92.50292319068728
WHITES,WHITES,MO,Pettis,1892.0,1896.0,True,5.0,62388,True,4.0,True,WHITE,PETTIS,MO,745430.0,School,White School (historical),Pettis,38.6697402,-93.1265913,254.0,0.833333333333333,38.6697402,-93.1265913,Missouri,38.29739780113773,-92.40621321592816
LEWISDALE,LEWISDALE,MD,Montgomery,1893.0,1908.0,True,5.0,94733,True,15.0,True,LEWISDALE,MONTGOMERY,MD,590661.0,Populated Place,Lewisdale,Montgomery,39.28622,-77.2611,202.0,1.0,39.28622,-77.2611,Maryland,39.122077160656936,-76.77834919226278
MILLICAN,MILLICAN,TN,Sevier,1889.0,1900.0,True,5.0,37483,True,11.0,True,MILLICAN,SEVIER,TN,1293980.0,Populated Place,Millican,Sevier,35.9050905,-83.508223,303.0,1.0,35.9050905,-83.508223,Tennessee,35.90304088108576,-85.8669100795989
DENMARK,DENMARK,MI,Tuscola,1862.0,1900.0,True,5.0,78196,True,38.0,True,DENMARK,TUSCOLA,MI,2553979.0,Post Office,Denmark Post Office (historical),Tuscola,43.45056,-83.58278,203.0,1.0,43.45056,-83.58278,Michigan,43.64460033559263,-84.97948272513034
FREE WATER,FREE WATER,MO,Gentry,1881.0,1893.0,True,5.0,21228,True,12.0,True,FREE WATER,GENTRY,MO,730103.0,Populated Place,Free Water,Gentry,40.373051,-94.2641224,291.0,1.0,40.373051,-94.2641224,Missouri,38.29739780113773,-92.40621321592816
STAGNER,STAGNER,TX,Wood,1903.0,1907.0,True,6.0,159912,True,4.0,True,STAGNER,WOOD,TX,1347788.0,Church,Stagner Church,Wood,32.68708,-95.25884,161.0,,32.68708,-95.25884,Texas,31.49183703480589,-97.29755489625168
CALLAGHAN,CALLAGHAN('S),VA,Alleghany,1804.0,1919.0,True,3.0,72240,True,115.0,True,CALLAGHAN,ALLEGHANY,VA,1492692.0,Populated Place,Callaghan,Alleghany,37.81207,-80.07423,419.0,1.0,37.81207,-80.07423,Virginia,37.59297044544598,-78.73498313891332
