name,orig_name,state,orig_county,established,discontinued,continuous,stamp_index,id,coordinates,duration,gnis_match,gnis_name,gnis_county,gnis_state,gnis_feature_id,gnis_feature_class,gnis_orig_name,gnis_orig_county,gnis_latitude,gnis_longitude,gnis_elev_in_m,gnis_dist,latitude,longitude,state_full,state_latitude,state_longitude
PARKWAY,PARKWAY,WA,Pierce,1931.0,1946.0,True,2.0,152919,True,15.0,True,PARKWAY,PIERCE,WA,1530062.0,Locale,Parkway,Pierce,46.99372,-121.5281,823.0,1.0,46.99372,-121.5281,Washington,47.38130745950554,-121.08638959931798
WHELAN,WHELAN,WI,Buffalo,1898.0,1904.0,True,5.0,121694,True,6.0,True,WHELAN,BUFFALO,WI,1837565.0,School,Whelan School (historical),Buffalo,44.40774,-91.70877,292.0,1.0,44.40774,-91.70877,Wisconsin,44.176831579177936,-89.75962788128719
IOWAVILLE,IOWAVILLE,KS,Sedgwick,1874.0,1902.0,True,5.0,142824,True,28.0,True,IOWAVILLE,SEDGWICK,KS,482580.0,Locale,Iowaville (historical),Sedgwick,37.57696,-97.18282,411.0,1.0,37.57696,-97.18282,Kansas,38.52652031092821,-97.41166347965247
CASHEL,CASHEL,ND,Walsh,1887.0,1943.0,True,2.0,130133,True,56.0,True,CASHEL,WALSH,ND,1028293.0,Populated Place,Cashel,Walsh,48.48471,-97.29869,246.0,1.0,48.48471,-97.29869,North Dakota,47.49648331707317,-99.80502257317072
IDITAROD,IDITAROD,AK,,1910.0,1929.0,True,5.0,142545,True,19.0,True,IDITAROD,YUKON-KOYUKUK,AK,1403697.0,Populated Place,Iditarod,Yukon-Koyukuk (CA),62.54444,-158.0953,46.0,1.0,62.54444,-158.0953,Alaska,60.97705223333333,-148.14889333333332
SAN HAVEN,SAN HAVEN,ND,Rolette,1923.0,1987.0,True,1.0,157513,True,64.0,True,SAN HAVEN,ROLETTE,ND,1031333.0,Populated Place,San Haven,Rolette,48.83472,-100.039,579.0,1.0,48.83472,-100.039,North Dakota,47.49648331707317,-99.80502257317072
MAGNOLIA,MAGNOLIA,MO,Johnson,1896.0,1953.0,True,1.0,34760,True,57.0,True,MAGNOLIA,JOHNSON,MO,721752.0,Populated Place,Magnolia,Johnson,38.63918,-93.9141068,269.0,1.0,38.63918,-93.9141068,Missouri,38.29739780113773,-92.40621321592816
CLIFTON,CLIFTON,MN,Saint Louis,1879.0,1879.0,True,9.0,74825,True,0.0,True,CLIFTON,ST. LOUIS,MN,2123682.0,Post Office,Clifton Post Office (historical),St. Louis,46.88139,-91.92028,190.0,1.0,46.88139,-91.92028,Minnesota,45.838668873886334,-94.26161293179725
SCHUMANSVILLE,SCHUMANSVILLE,TX,Guadalupe,1904.0,1906.0,True,6.0,158028,True,2.0,True,SCHUMANSVILLE,GUADALUPE,TX,1384865.0,Populated Place,Schumansville,Guadalupe,29.64523,-98.07667,192.0,1.0,29.64523,-98.07667,Texas,31.49183703480589,-97.29755489625168
MAYWOOD,MAYWOOD,KS,Wyandotte,1872.0,1909.0,True,4.0,148050,True,37.0,True,MAYWOOD,WYANDOTTE,KS,478591.0,Populated Place,Maywood,Wyandotte,39.12778,-94.82524,306.0,1.0,39.12778,-94.82524,Kansas,38.52652031092821,-97.41166347965247
LANTIE,LANTIE,WV,Boone,1912.0,1914.0,True,6.0,93817,True,2.0,True,LANTIE,BOONE,WV,1554911.0,Populated Place,Lantie,Boone,37.99233,-81.73678,249.0,1.0,37.99233,-81.73678,West Virginia,38.621691901095794,-80.8000481173913
GROSS,GROSS,IL,Hardin,1905.0,1913.0,True,4.0,86581,True,8.0,True,GROSS,HARDIN,IL,424954.0,Populated Place,Gross,Hardin,37.53311,-88.29059,197.0,1.0,37.53311,-88.29059,Illinois,40.10173193774704,-89.09195342628459
HERMITAGE,HERMITAGE,LA,Pointe Coupee,1851.0,1955.0,False,1.0,26203,True,104.0,True,HERMITAGE,POINTE COUPEE,LA,543289.0,Populated Place,Hermitage,Pointe Coupee,30.6451867,-91.338444,10.0,1.0,30.6451867,-91.338444,Louisiana,31.25885839387474,-91.9906807220234
ROCKY RIVER,ROCKY RIVER,SC,Abbeville,1831.0,1836.0,True,9.0,49374,True,5.0,True,ROCKY RIVER,ABBEVILLE,SC,1229130.0,Populated Place,Rocky River (historical),Abbeville,34.1692787,-82.6262426,144.0,1.0,34.1692787,-82.6262426,South Carolina,34.12136880118953,-81.13033261165741
FRAZER,FRAZER,PA,Chester,1830.0,1938.0,True,2.0,21182,True,108.0,True,FRAZER,CHESTER,PA,2773141.0,Post Office,Frazer Post Office,Chester,40.0357776,-75.5648556,128.0,1.0,40.0357776,-75.5648556,Pennsylvania,40.72547983697331,-77.55723820194132
TYE RIVER,TYE RIVER,VA,Nelson,1903.0,1980.0,False,1.0,118536,True,77.0,True,TYE RIVER,NELSON,VA,1476009.0,Populated Place,Tye River,Nelson,37.65264,-78.94808,171.0,1.0,37.65264,-78.94808,Virginia,37.59297044544598,-78.73498313891332
SPRING VALLEY,SPRING VALLEY,KS,McPherson,1872.0,1902.0,True,5.0,159764,True,30.0,True,SPRING VALLEY,MCPHERSON,KS,482008.0,Locale,Spring Valley (historical),McPherson,38.26112,-97.43226,455.0,1.0,38.26112,-97.43226,Kansas,38.52652031092821,-97.41166347965247
CELT,CELT,MO,Dallas,1887.0,1965.0,True,1.0,9688,True,78.0,True,CELT,DALLAS,MO,740731.0,Populated Place,Celt,Dallas,37.8758695,-92.9015749,230.0,1.0,37.8758695,-92.9015749,Missouri,38.29739780113773,-92.40621321592816
FRANCIS,FRANCIS,AL,Calhoun,1876.0,1906.0,True,4.0,21063,True,30.0,True,FRANCIS,CALHOUN,AL,156377.0,Populated Place,Francis,Calhoun,33.7748214,-86.0335823,164.0,1.0,33.7748214,-86.0335823,Alabama,33.03209749119171,-86.72512276024179
PALESTINE,PALESTINE,AL,Cleburne,1850.0,1934.0,False,2.0,43555,True,84.0,True,PALESTINE,CLEBURNE,AL,160333.0,Populated Place,Palestine,Cleburne,33.94149,-85.4502345,269.0,1.0,33.94149,-85.4502345,Alabama,33.03209749119171,-86.72512276024179
GOOD HOPE,GOOD HOPE,NV,Elko,1884.0,1887.0,True,8.0,139168,True,3.0,True,GOOD HOPE,ELKO,NV,864349.0,Post Office,Good Hope Post Office (historical),Elko,41.46712,-116.5076,1831.0,1.0,41.46712,-116.5076,Nevada,39.29768467980296,-116.98912003284072
WEIRGOR,WEIRGOR,WI,Sawyer,1915.0,1925.0,True,3.0,120967,True,10.0,True,WEIRGOR,SAWYER,WI,1576400.0,Populated Place,Weirgor,Sawyer,45.68996,-91.26794,367.0,1.0,45.68996,-91.26794,Wisconsin,44.176831579177936,-89.75962788128719
