name,orig_name,state,orig_county,established,discontinued,continuous,stamp_index,id,coordinates,duration,gnis_match,gnis_name,gnis_county,gnis_state,gnis_feature_id,gnis_feature_class,gnis_orig_name,gnis_orig_county,gnis_latitude,gnis_longitude,gnis_elev_in_m,gnis_dist,latitude,longitude,state_full,state_latitude,state_longitude
CANNON MINES,CANNON MINES,MO,Washington,1915.0,1940.0,True,2.0,8764,True,25.0,True,CANNON MINES,WASHINGTON,MO,715368.0,Populated Place,Cannon Mines,Washington,38.0533844,-90.6981853,243.0,1.0,38.0533844,-90.6981853,Missouri,38.29739780113773,-92.40621321592816
CANTWELL,CANTWELL,MO,St. Francois,1913.0,1963.0,True,1.0,8831,True,50.0,True,CANTWELL,ST. FRANCOIS,MO,755855.0,Populated Place,Cantwell,St. Francois,37.8725514,-90.5117916,242.0,1.0,37.8725514,-90.5117916,Missouri,38.29739780113773,-92.40621321592816
CAP AU GRIS,CAP AU GRIS,MO,Lincoln,1845.0,1883.0,True,4.0,8836,True,38.0,True,CAP AU GRIS,LINCOLN,MO,735549.0,Populated Place,Cap au Gris,Lincoln,38.9989386,-90.6917898,133.0,1.0,38.9989386,-90.6917898,Missouri,38.29739780113773,-92.40621321592816
CAPE GALENA,CAPE GALENA,MO,Morgan,1875.0,1895.0,True,5.0,8845,True,20.0,True,CAPE GALENA,MORGAN,MO,755637.0,Populated Place,Cape Galena (historical),Morgan,38.2058642,-92.7674109,201.0,1.0,38.2058642,-92.7674109,Missouri,38.29739780113773,-92.40621321592816
CAPPELN,CAPPELN,MO,St. Charles,1870.0,1907.0,True,4.0,8871,True,37.0,True,CAPPELN,ST. CHARLES,MO,755856.0,Populated Place,Cappeln,St. Charles,38.6842181,-90.9390275,251.0,1.0,38.6842181,-90.9390275,Missouri,38.29739780113773,-92.40621321592816
CAPPS,CAPPS,MO,Miller,1892.0,1911.0,True,4.0,8872,True,19.0,True,CAPPS,MILLER,MO,729455.0,Populated Place,Capps,Miller,38.2422582,-92.3210115,175.0,1.0,38.2422582,-92.3210115,Missouri,38.29739780113773,-92.40621321592816
CAPUT,CAPUT,MO,Barton,1871.0,1895.0,True,5.0,8887,True,24.0,True,CAPUT,BARTON,MO,715387.0,School,Caput School (historical),Barton,37.5822677,-94.3305049,280.0,1.0,37.5822677,-94.3305049,Missouri,38.29739780113773,-92.40621321592816
CARBON CENTRE,CARBON CENTRE,MO,Vernon,1874.0,1904.0,True,5.0,8898,True,30.0,True,CARBON CENTER,VERNON,MO,715388.0,Populated Place,Carbon Center,Vernon,38.046143,-94.3218941,235.0,0.846153846153846,38.046143,-94.3218941,Missouri,38.29739780113773,-92.40621321592816
CARBON HILL,CARBON HILL,MO,Johnson,1868.0,1875.0,True,6.0,8899,True,7.0,True,CARBON HILL,JOHNSON,MO,729779.0,Populated Place,Carbon Hill,Johnson,38.7747347,-93.6218807,248.0,1.0,38.7747347,-93.6218807,Missouri,38.29739780113773,-92.40621321592816
CARICO,CARICO,MO,Stone,1921.0,1928.0,True,3.0,8933,True,7.0,True,CARICO,STONE,MO,737926.0,Populated Place,Carico,Stone,36.7945041,-93.4112992,307.0,1.0,36.7945041,-93.4112992,Missouri,38.29739780113773,-92.40621321592816
CARIE,CARIE,MO,Ripley,1898.0,1915.0,True,4.0,8935,True,17.0,True,CARIE,RIPLEY,MO,760068.0,Post Office,Carie Post Office,Ripley,36.6378363,-90.9390141,192.0,1.0,36.6378363,-90.9390141,Missouri,38.29739780113773,-92.40621321592816
CARLETON,CARLETON,MO,Pemiscot,1895.0,1903.0,True,5.0,8948,True,8.0,True,CARLSTON,PEMISCOT,MO,740028.0,Populated Place,Carlston,Pemiscot,36.2217349,-89.7373045,81.0,0.875,36.2217349,-89.7373045,Missouri,38.29739780113773,-92.40621321592816
CARLOW,CARLOW,MO,Daviess,1882.0,1927.0,True,3.0,8978,True,45.0,True,CARLOW,DAVIESS,MO,730067.0,Populated Place,Carlow,Daviess,39.8808435,-93.8324411,224.0,1.0,39.8808435,-93.8324411,Missouri,38.29739780113773,-92.40621321592816
